nume,pagina poetului,titlul poeziei,pagina poeziei
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Când toate trec şi-mbătrânesc,https://poetii-nostri.ro/alexandru-macedonski-cand-toate-trec-si-mbatranesc-poezie-id-6528/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Cântec,https://poetii-nostri.ro/alexandru-macedonski-cantec-poezie-id-32597/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Cântec de renaştere,https://poetii-nostri.ro/alexandru-macedonski-cantec-de-renastere-poezie-id-32801/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Cântecul ploaiei,https://poetii-nostri.ro/alexandru-macedonski-cantecul-ploaiei-poezie-id-23489/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Castelul,https://poetii-nostri.ro/alexandru-macedonski-castelul-poezie-id-23496/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Chipul poeziei,https://poetii-nostri.ro/alexandru-macedonski-chipul-poeziei-poezie-id-9487/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Corabia ~ din volumul: Forţa morală, 13 ianuarie 1902,https://poetii-nostri.ro/alexandru-macedonski-corabia-poezie-id-23480/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Cu morţii,https://poetii-nostri.ro/alexandru-macedonski-cu-mortii-poezie-id-23497/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,De-aş sti ...,https://poetii-nostri.ro/alexandru-macedonski-de-as-sti--poezie-id-11291/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Desperarea,https://poetii-nostri.ro/alexandru-macedonski-desperarea-poezie-id-10822/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Destinul,https://poetii-nostri.ro/alexandru-macedonski-destinul-poezie-id-32728/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Destul,https://poetii-nostri.ro/alexandru-macedonski-destul-poezie-id-32673/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Dormi dulce ~ din volumul: Excelsior, 1895,https://poetii-nostri.ro/alexandru-macedonski-dormi-dulce-poezie-id-49404/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Ecourile nopţii,https://poetii-nostri.ro/alexandru-macedonski-ecourile-noptii-poezie-id-32727/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Epigraf final,https://poetii-nostri.ro/alexandru-macedonski-epigraf-final-poezie-id-33190/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Epigramă,https://poetii-nostri.ro/alexandru-macedonski-epigrama-poezie-id-32675/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Epoca,https://poetii-nostri.ro/alexandru-macedonski-epoca-poezie-id-32593/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Fântâna,https://poetii-nostri.ro/alexandru-macedonski-fantana-poezie-id-32729/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Faunul,https://poetii-nostri.ro/alexandru-macedonski-faunul-poezie-id-32601/
Alexandru Macedonski,https://poetii-nostri.ro/alexandru-macedonski-autor-22/,Filozofia morții,https://poetii-nostri.ro/alexandru-macedonski-filozofia-mortii-poezie-id-16468/
